pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
30.3,17.4,-90.0,bottom,BT1,,,PinHeader_1x02_P2.54mm_Horizontal,Bat,tht
-0.01,-45.466,0.0,top,BZ1,PS1240P02BT,,Buzzer_12x9.5RM7.6,Buzzer_WT-1205,tht
-11.43,-52.05,90.0,top,C1,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100n,tht
27.4,-3.78,90.0,top,D1,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4001,tht
-8.382,-55.88,90.0,top,D2,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N5819,tht
-32.8,-0.72,90.0,top,J1,,,PinHeader_1x04_P2.54mm_Vertical,Conn_I2C,tht
-16.0,-24.92,0.0,top,J10,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-25.19,-10.6,0.0,top,J11,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-27.73,-10.6,0.0,top,J12,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-30.27,-10.6,0.0,top,J13,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-32.81,-10.6,0.0,top,J14,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
3.81,-53.594,90.0,bottom,J15,,,PinSocket_1x04_P2.54mm_Vertical,HC-SR04,tht
11.42,-37.338,90.0,bottom,J16,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
11.425,-30.0,-90.0,top,J17,,,PinHeader_1x10_P2.54mm_Vertical,Conn_01x10,tht
19.812,-3.81,-90.0,top,J18,,,PinSocket_1x15_P2.54mm_Vertical,Conn_01x15,tht
19.812,-19.05,-90.0,top,J19,,,PinSocket_1x15_P2.54mm_Vertical,Conn_01x15,tht
-32.8,-3.26,90.0,top,J2,,,PinHeader_1x04_P2.54mm_Vertical,Conn_I2C,tht
16.0,-24.92,0.0,top,J3,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
18.54,-24.92,0.0,top,J4,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
21.08,-24.92,0.0,top,J5,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
2.54,13.3,90.0,bottom,J50,,,PinSocket_1x03_P2.54mm_Horizontal_haptic,Conn_01x03,tht
23.62,-24.92,0.0,top,J6,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-23.62,-24.92,0.0,top,J7,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-21.08,-24.92,0.0,top,J8,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
-18.54,-24.92,0.0,top,J9,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht
0.25,14.5,180.0,top,LCD1,,,Disp_TFT_LCD_128x128,Disp_ST7735,tht
0.0,14.732,0.0,top,OLED1,,,Disp_128x64OLED,Disp_SSD1306,tht
12.68,-47.77,0.0,top,Q1,BC547B,,TO-92_HandSolder,BC547,tht
-32.8,-5.8,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
8.0,13.23,0.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
8.0,15.77,0.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
8.0,18.31,0.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
-7.98,8.15,180.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,20k,tht
-7.98,10.69,180.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,20k,tht
-7.98,13.23,180.0,top,R15,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,20k,tht
-7.98,15.77,180.0,top,R16,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,20k,tht
-7.98,18.31,180.0,top,R17,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,20k,tht
-32.8,1.82,0.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
17.0,-38.0,0.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
-24.6,-38.0,0.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
-17.018,-51.308,90.0,top,R5,,,R_LDR_4.9x4.2mm_P2.54mm_Vertical,LDR,tht
-17.0,-41.5,180.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
17.0,-41.5,0.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,100E,tht
8.0,8.15,0.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
8.0,10.69,0.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht
13.97,-55.194,180.0,top,RV1,,,TRIM_601040,100k,tht
27.7,-13.2,90.0,top,SW1,,,SW_CuK_OS102011MA1QN1_SPDT_Angled,ON,tht
27.0,-52.0,-90.0,top,SW2,,,SWITCH_PUSH_6mm_12mm,ON,tht
-27.0,-52.0,90.0,top,SW3,,,SWITCH_PUSH_6mm_12mm,ON,tht
